respondent_id,Q1_age_group,Q2_city_tier,Q3_residence_type,Q4_num_dogs,Q5_dog_type,Q6_ownership_duration,Q7_monthly_spend_inr,Q7_spend_range,Q8_top_spend_category,Q9_online_purchase_freq,Q10_challenges,Q11_vet_discovery,Q12_lost_dog_experience,Q13_pet_space_satisfaction,Q14_preferred_features,Q15_app_usage,Q16_purchase_platform,Q17_location_sharing,Q18_subscription_pref,Q19_adoption_interest,Q20_community_importance,Q21_social_media_dogs,Q22_reviews_importance,Q23_vax_tracking,Q24_emergency_vet_freq,Q25_app_adoption
R0001,25-34,Metro,Non-gated apartment,1 dog,Adopted from shelter|Purebred,3-5 years,5272.0,5000-10000,Food & treats,Frequently,Lack of grooming services,Pet app,"Yes, very difficult",,Nearby vet directory|Online marketplace,Often,Heads Up For Tails/Supertails,No,One-time purchase,Maybe someday,Very Important,Active,Extremely Important,Dedicated pet app,More than 3 times,Yes
R0002,60+,Metro,Rented,1 dog,Mixed breed,<1 year,3029.0,2500-5000,Grooming,Occasionally,Lack of grooming services|Hard to find reliable vet|Difficulty adopting/fostering,No reliable way,"Yes, very difficult",Dissatisfied,Adoption/fostering network|Health/vaccination tracker|Community/playdates,Often,Local pet store,Yes when using app,Annual sub,Maybe someday,Somewhat Important,,Not Important,Rely on memory,Never,Maybe
R0003,35-44,Tier-3,Non-gated apartment,2 dogs,Rescued stray|Indian Pariah,3-5 years,5230.0,5000-10000,Food & treats,Rarely,Hard to find reliable vet|Losing track of vaccinations,Word of mouth,No,,Nearby vet directory,Never,Local pet store,Yes always,Monthly sub,No,Somewhat Important,Passive,,Spreadsheet/notes app,Once a year or less,Maybe
R0004,35-44,Metro,Independent house,1 dog,Mixed breed|Adopted from shelter,3-5 years,6479.0,5000-10000,Food & treats,Frequently,Lack of grooming services|Difficulty adopting/fostering|Genuine food/accessories hard to find,Google Maps,Not applicable,Dissatisfied,Grooming listings|Nearby vet directory,Sometimes,Don't buy online,Yes always,Free with ads,Yes considering,Somewhat Important,Not yet but would,Somewhat Important,Physical diary,Never,Yes
R0005,18-24,Metro,Independent house,1 dog,Adopted from shelter|Indian Pariah,5+ years,2523.0,2500-5000,Boarding/walking,Frequently,Lack of grooming services|Hard to find reliable vet,Google Maps,"Yes, very difficult",Very Dissatisfied,Community/playdates|Grooming listings,Often,Amazon/Flipkart,Unsure,Would not pay,Yes actively,Somewhat Important,Active,Somewhat Important,Spreadsheet/notes app,2-3 times a year,Yes
R0006,18-24,Tier-3,,3+ dogs,Purebred|Adopted from shelter,1-3 years,10564.0,>10000,Food & treats,Very frequently,No pet-friendly spaces,Google Maps,No,Dissatisfied,Adoption/fostering network|Pet-friendly places|Nearby vet directory,Sometimes,Heads Up For Tails/Supertails,Yes when using app,Free with ads,Yes actively,Somewhat Important,Not interested,Not Important,Don't track,Never,No
R0007,18-24,Metro,Gated apartment,1 dog,Mixed breed|Rescued stray,3-5 years,5249.0,5000-10000,,Rarely,No local dog owner community|Travel challenges with dog|Lack of grooming services,Google Maps,"Yes, very difficult",,Nearby vet directory,Sometimes,Amazon/Flipkart,Yes always,Annual sub,Yes considering,Somewhat Important,Not yet but would,Extremely Important,,2-3 times a year,Maybe
R0008,45-59,Tier-3,Gated apartment,None,Adopted from shelter,<1 year,231.0,<1000,nan,Frequently,Losing track of vaccinations|No pet-friendly spaces,Google Maps,No,Very Dissatisfied,Dog-friendly travel guide|Nearby vet directory|Health/vaccination tracker,,Local pet store,No,Free with ads,No,Very Important,Passive,Extremely Important,Spreadsheet/notes app,,No
R0009,35-44,Metro,Non-gated apartment,1 dog,Adopted from shelter|Indian Pariah,5+ years,,nan,Food & treats,Frequently,Losing track of vaccinations,,No,Very Satisfied,Nearby vet directory|Community/playdates,,Amazon/Flipkart,Unsure,Freemium,Maybe someday,Neutral,Passive,Extremely Important,Spreadsheet/notes app,2-3 times a year,Yes
R0010,35-44,Tier-2,Independent house,1 dog,Indian Pariah|Rescued stray,1-3 years,1962.0,1000-2500,Food & treats,Occasionally,Lack of grooming services|Travel challenges with dog,Word of mouth,"Yes, very difficult",Very Dissatisfied,Community/playdates|Dog trainer directory,Often,Brand website,Yes when using app,Freemium,Maybe someday,Neutral,Not yet but would,Very Important,Rely on memory,Once a year or less,Yes
R0011,Under 18,Metro,Independent house,2 dogs,Mixed breed|Purebred,1-3 years,3106.0,2500-5000,Vet & medicines,Occasionally,Travel challenges with dog|Losing track of vaccinations|Cannot find dog trainer,Word of mouth,No,Satisfied,Health/vaccination tracker,Often,Don't buy online,Yes when using app,Monthly sub,Yes considering,Somewhat Important,Passive,Extremely Important,Physical diary,Once a year or less,Yes
R0012,60+,Metro,Gated apartment,2 dogs,Indian Pariah|Rescued stray,5+ years,5122.0,5000-10000,Food & treats,Very frequently,Hard to find boarding/walker,Social media,Not applicable,Neutral,Grooming listings|Boarding/walking listings|Dog trainer directory,Rarely,Amazon/Flipkart,Yes always,Freemium,Maybe someday,Not Important,Not yet but would,Very Important,Rely on memory,2-3 times a year,Yes
R0013,45-59,Tier-3,Non-gated apartment,3+ dogs,Purebred,3-5 years,6740.0,5000-10000,Food & treats,Very frequently,Travel challenges with dog|Hard to find reliable vet|Lack of grooming services,Word of mouth,No,Neutral,Nearby vet directory|Lost-and-found alerts,Never,Local pet store,No,Free with ads,Maybe someday,Somewhat Important,Not yet but would,Somewhat Important,Dedicated pet app,2-3 times a year,Maybe
R0014,25-34,Metro,Independent house,1 dog,Indian Pariah|Purebred,5+ years,5949.0,5000-10000,Grooming,Occasionally,Losing track of vaccinations|Lack of grooming services|No local dog owner community|Genuine food,Google Maps,"Yes, managed eventually",Very Dissatisfied,Nearby vet directory|Dog trainer directory|Grooming listings,Rarely,Heads Up For Tails/Supertails,Yes always,Free with ads,Yes considering,Neutral,Not yet but would,Extremely Important,Spreadsheet/notes app,,Maybe
R0015,18-24,Tier-2,,1 dog,Rescued stray,3-5 years,3409.0,2500-5000,Food & treats,Occasionally,Lack of grooming services|Hard to find reliable vet,Word of mouth,"Yes, very difficult",Very Dissatisfied,Adoption/fostering network|Health/vaccination tracker,Rarely,Amazon/Flipkart,Yes when using app,Annual sub,Maybe someday,Very Important,Not interested,Extremely Important,Spreadsheet/notes app,2-3 times a year,Yes
R0016,18-24,Metro,Gated apartment,2 dogs,Rescued stray,1-3 years,-3484.0,2500-5000,Vet & medicines,Frequently,Hard to find reliable vet|Difficulty adopting/fostering,Google Maps,Not applicable,Dissatisfied,Adoption/fostering network,Never,Amazon/Flipkart,Yes when using app,Freemium,Yes actively,Very Important,Passive,Very Important,Rely on memory,2-3 times a year,Maybe
R0017,25-34,Metro,Rented,1 dog,Adopted from shelter,5+ years,4704.0,2500-5000,Boarding/walking,Never,Losing track of vaccinations|No pet-friendly spaces,Word of mouth,No,Dissatisfied,Nearby vet directory|Community/playdates,Often,Local pet store,Yes when using app,Freemium,Yes actively,,Active,Extremely Important,Physical diary,2-3 times a year,Yes
R0018,25-34,Tier-3,Rented,1 dog,Mixed breed,5+ years,-3067.0,2500-5000,Vet & medicines,Rarely,Hard to find reliable vet|No local dog owner community|Lack of grooming services,Word of mouth,"Yes, managed eventually",Dissatisfied,Dog trainer directory,Sometimes,Amazon/Flipkart,Yes always,Free with ads,Yes actively,Somewhat Important,Passive,Somewhat Important,Spreadsheet/notes app,Never,Maybe
R0019,25-34,Metro,Gated apartment,1 dog,Mixed breed,3-5 years,4729.0,2500-5000,Vet & medicines,Very frequently,Hard to find reliable vet|No pet-friendly spaces,Social media,"Yes, managed eventually",Dissatisfied,Pet-friendly places|Nearby vet directory,Never,Amazon/Flipkart,Yes when using app,,No,Very Important,Not interested,Very Important,Don't track,2-3 times a year,Yes
R0020,25-34,Tier-2,Gated apartment,None,Adopted from shelter,Planning to adopt,75.0,<1000,Grooming,Frequently,Hard to find reliable vet|Hard to find boarding/walker|Lack of grooming services,Google Maps,Not applicable,Very Dissatisfied,Health/vaccination tracker,Often,Instagram/social,Yes when using app,Annual sub,Yes considering,Neutral,Active,Extremely Important,Don't track,Never,Yes
